City,latitude,longitude
Mumbai,19.0760,72.8777
Delhi,28.6139,77.2090
Bangalore,12.9716,77.5946
Kolkata,22.5726,88.3639
Chennai,13.0827,80.2707
Hyderabad,17.3850,78.4867
Pune,18.5204,73.8567
Ahmedabad,23.0225,72.5714
Jaipur,26.9124,75.7873
Surat,21.1702,72.8311
Kanpur,26.4499,80.3319
Nagpur,21.1458,79.0882
Lucknow,26.8467,80.9462
Visakhapatnam,17.6868,83.2185
Bhopal,23.2599,77.4126
Patna,25.5941,85.1376
Vadodara,22.3072,73.1812
Cochin (Kochi),9.9312,76.2673
Indore,22.7196,75.8577
Agra,27.1767,78.0081
Coimbatore,11.0168,76.9558